city,date,pm25,pm10,no2,so2,aqi
Kolkata,27-09-2022,229.9,215.8,17.8,32.6,133.8
Bangalore,27-09-2022,355.5,138.8,132.8,58.2,453.9
Delhi,28-09-2022,482.3,149.6,4.2,22.5,30.6
Mumbai,28-09-2022,112.1,90.2,9.7,13.7,286.7
Chennai,28-09-2022,89.1,69.6,115.9,0,233.4
Kolkata,28-09-2022,53.7,264.2,104,62.6,391.1
Bangalore,28-09-2022,242.5,375.2,39.8,14.6,275.6
Delhi,29-09-2022,314.3,427.1,54.1,28.6,465.7
Mumbai,29-09-2022,239.4,486.5,135.3,79.6,355.4
Chennai,29-09-2022,356.9,428.5,97.7,42.8,86.3
Kolkata,29-09-2022,234.8,575.8,94.3,5.8,168.6
Bangalore,29-09-2022,222.9,17.3,11.9,78.3,491.1
Delhi,30-09-2022,311.9,13.2,8.1,22.2,85.7
Mumbai,30-09-2022,323.4,415.5,33.9,82.1,261.9
Chennai,30-09-2022,202.1,536.7,8.7,40.5,126
Kolkata,30-09-2022,459.1,369.4,137.3,51,487.4
Bangalore,30-09-2022,446.7,363.1,51.7,63.2,95.3
Delhi,01-10-2022,352.5,537.9,12.4,4.5,150.4
Mumbai,01-10-2022,495.7,431.7,85.8,61.8,476.5
Chennai,01-10-2022,51,75.8,129.6,43.8,192.1
Kolkata,01-10-2022,465.3,363.9,20,17.1,255.4
Bangalore,01-10-2022,313.7,34.2,70.2,17.3,275.9
Delhi,02-10-2022,208,382,13.3,40.1,97.3
Mumbai,02-10-2022,409.1,118.6,6.9,64.8,391.4
Chennai,02-10-2022,99.8,16.8,30.6,90,197.6
Kolkata,02-10-2022,464.2,406.2,37.4,16.9,203.8
Bangalore,02-10-2022,215.1,224.4,29.6,25.5,205.9
Delhi,03-10-2022,138.4,343.8,40.6,77.8,307.6
Mumbai,03-10-2022,380.6,213.4,63.2,1.7,441.6
Chennai,03-10-2022,470.3,351.6,88.5,76.9,264.5
Kolkata,03-10-2022,17.5,201.6,136.8,88.7,147.9
Bangalore,03-10-2022,364.5,269.1,91.3,90.5,5.6
Delhi,04-10-2022,173.1,163.4,51.6,22.9,425.2
Mumbai,04-10-2022,111.4,101.4,41.6,22.9,279.5
Chennai,04-10-2022,389.7,341.9,22.9,55.1,294.2
Kolkata,04-10-2022,385,93.1,83.2,78.6,428.2
Bangalore,04-10-2022,415.5,419,28.6,6.3,153.9
Delhi,05-10-2022,89.7,312,95.6,34.8,323.9
Mumbai,05-10-2022,161,302.1,70.3,44,183.2
Chennai,05-10-2022,34,564.1,50.5,73.1,457.3
Kolkata,05-10-2022,370.1,354.4,89.4,68.3,196.2
Bangalore,05-10-2022,387.8,482.3,16.9,9.7,20.7
Delhi,06-10-2022,96.7,516.4,80.7,83.4,290.5
Mumbai,06-10-2022,399.3,286.1,15.2,15.4,240.4
Chennai,06-10-2022,18.3,374.8,24.2,19.1,382.1
Kolkata,06-10-2022,316,304.7,10.5,50.5,138.7
Bangalore,06-10-2022,56.8,26.9,10.1,56.9,229
Delhi,07-10-2022,356.6,353.8,125.6,27.8,308.7
Mumbai,07-10-2022,433.4,428.1,89.6,91,190.8
Chennai,07-10-2022,46.7,308.5,16.6,93.2,299.6
Kolkata,07-10-2022,42.9,501.8,113.5,59.9,450.2
Bangalore,07-10-2022,376.8,246,61.6,42.6,442.3
Delhi,08-10-2022,289.1,204.2,97.4,51.8,180.7
Mumbai,08-10-2022,23.4,563.6,113.2,10.7,480.3
Chennai,08-10-2022,260.3,298.1,50.1,14.2,103.1
Kolkata,08-10-2022,174.7,484.4,80.4,95.9,85.3
Bangalore,08-10-2022,474.1,518.3,112.8,28.5,426.7
Delhi,09-10-2022,183.8,344.8,141.9,41.7,180.6
Mumbai,09-10-2022,118.3,5.5,8.3,39.2,357.1
Chennai,09-10-2022,461.6,192.9,1,15.2,255.9
Kolkata,09-10-2022,68.2,304.5,31.5,1.9,498.6
Bangalore,09-10-2022,447.1,490.6,115.2,62,160.4
Delhi,10-10-2022,183.8,185.7,73.6,99,356.2
Mumbai,10-10-2022,433.6,353.5,91.8,14.4,430.3
Chennai,10-10-2022,409.8,434.7,90,12.9,252.9
Kolkata,10-10-2022,266.5,577.7,121.7,80.5,143.8
Bangalore,10-10-2022,145.8,291.4,132.2,52.2,489.4
Delhi,11-10-2022,11.1,486.3,33.4,51.4,90.4
Mumbai,11-10-2022,255.7,416.8,138.1,94,388
Chennai,11-10-2022,75.9,349.9,82.5,67.5,41.7
Kolkata,11-10-2022,263.6,532.3,35,99.4,120.6
Bangalore,11-10-2022,217.8,392.1,54.1,95.5,85.9
Delhi,12-10-2022,178.3,557.4,52,42.2,433.7
Mumbai,12-10-2022,371.2,572.3,142.5,37.6,164.7
Chennai,12-10-2022,256.2,432.1,141.3,30.9,237.3
Kolkata,12-10-2022,33.5,557.3,73.2,41.4,197.6
Bangalore,12-10-2022,106,101.3,111.6,37.3,233.2
Delhi,13-10-2022,127.5,295.1,100.2,90.4,304.9
Mumbai,13-10-2022,351,50.1,118.9,13,210.8
Chennai,13-10-2022,442.6,401.1,1.8,45.2,300.4
Kolkata,13-10-2022,418,209.6,38.5,60.4,499.1
Bangalore,13-10-2022,217.6,232.6,62.5,91,443.3
Delhi,14-10-2022,200,353.8,22.5,58.2,93.8
Mumbai,14-10-2022,304.2,174.8,47.6,8.4,157.1
Chennai,14-10-2022,373.2,169.2,143.2,18.2,264.5
Kolkata,14-10-2022,234.9,154.7,104.3,38.3,330.7
Bangalore,14-10-2022,412.3,175.1,106.5,55,446.9
Delhi,15-10-2022,69.6,596.8,22.5,69.3,360.4
Mumbai,15-10-2022,482.6,75.1,28.1,27.5,22.5
Chennai,15-10-2022,348.6,265.1,102.3,22.5,251.5
Kolkata,15-10-2022,439.2,409.8,60.2,92.4,488.5
Bangalore,15-10-2022,23.6,191.8,109.1,17.5,438.5
Delhi,16-10-2022,370.8,312.6,62.5,8.9,35.2
Mumbai,16-10-2022,435.8,23.1,78.3,98.6,494.7
Chennai,16-10-2022,416.4,386.7,99.4,87.2,198.8
Kolkata,16-10-2022,263.4,71.3,106.1,19,255.2
Bangalore,16-10-2022,153,503.2,119,14.6,159.4
Delhi,17-10-2022,170.9,43.2,29.9,8.2,171.6
Mumbai,17-10-2022,218.5,55.3,122.7,35,243.1
Chennai,17-10-2022,282.6,330,102.8,4.8,224.3
Kolkata,17-10-2022,92.1,69.3,28.6,82.6,211.2
Bangalore,17-10-2022,295.6,203.2,16.4,100,248.5
Delhi,18-10-2022,361.8,127.9,118.1,51.8,380.6
Mumbai,18-10-2022,148,571.2,10.4,18.7,36
Chennai,18-10-2022,480.2,170.9,39.4,59.5,424.8
Kolkata,18-10-2022,25.3,399.2,122.6,62.2,145.5
Bangalore,18-10-2022,138.7,351,14.9,35.9,101.5
Delhi,19-10-2022,310.6,443.4,46.2,95.1,463.7
Mumbai,19-10-2022,212.2,276.8,94.1,59.2,258.6
Chennai,19-10-2022,296.6,85.8,109,87.7,226.8
Kolkata,19-10-2022,300.7,431.8,25.8,24.2,197.3
Bangalore,19-10-2022,249.4,266.5,94.8,21.7,412
Delhi,20-10-2022,61.8,42.1,146.7,33.6,223.7
Mumbai,20-10-2022,129,374.2,100.5,82,77.6
Chennai,20-10-2022,494.5,43.7,89.8,40.8,89.4
Kolkata,20-10-2022,152.4,434.7,147.4,14.8,479.1
Bangalore,20-10-2022,391.7,492.6,109,56.1,243.2
Delhi,21-10-2022,350.8,472.8,98.5,45.9,207.4
Mumbai,21-10-2022,94.6,329.6,100.7,49.1,282.9
Chennai,21-10-2022,75.3,116.1,13.9,21.2,443.4
Kolkata,21-10-2022,457.3,348.8,30.8,83.6,293.7
Bangalore,21-10-2022,83.9,488.6,97.9,17,413
Delhi,22-10-2022,172,256.1,2.9,98.7,345.4
Mumbai,22-10-2022,80.2,450.9,48.9,91.1,489.9
Chennai,22-10-2022,385.7,439.2,77.4,61.3,280.2
Kolkata,22-10-2022,371.1,227.4,68.6,70,476
Bangalore,22-10-2022,485.5,174.9,56.3,83.3,445
Delhi,23-10-2022,165.2,502.2,124,74.5,440.2
Mumbai,23-10-2022,320.8,200.6,110.7,97.7,212.6
Chennai,23-10-2022,445.5,97.3,87,86.8,403.6
Kolkata,23-10-2022,363.2,194.1,70.4,42,361
Bangalore,23-10-2022,343.3,448.7,33.2,76.1,97.4
Delhi,24-10-2022,350.3,177.9,55.3,99.1,488.9
Mumbai,24-10-2022,137.1,239.9,30.7,92,132.7
Chennai,24-10-2022,111.5,548.3,30.2,28.8,153.5
Kolkata,24-10-2022,314.9,538.9,64.5,2.6,433.5
Bangalore,24-10-2022,392.8,58.1,109.3,66.6,379
Delhi,25-10-2022,448.2,310,103.7,19.8,303.5
Mumbai,25-10-2022,460,11,99,31.1,219.7
Chennai,25-10-2022,53.9,257.9,143.7,29.2,318.3
Kolkata,25-10-2022,156.2,581.2,36.6,71.8,23.2
Bangalore,25-10-2022,485.2,574.1,60.4,10.9,272.4
Delhi,26-10-2022,439.9,524.5,58.7,25.4,443.2
Mumbai,26-10-2022,219.7,149.9,148.5,18.4,224.8
Chennai,26-10-2022,275,365.5,1.2,34,133.9
Kolkata,26-10-2022,296.8,542.7,110.8,16.1,454.9
Bangalore,26-10-2022,134.7,141.9,69.3,77.5,445.6
Delhi,27-10-2022,385.6,81.8,24,18.8,370.3
Mumbai,27-10-2022,290.2,209.4,112.2,64.5,117.9
Chennai,27-10-2022,223.2,107.8,41.8,9.1,442.7
Kolkata,27-10-2022,450.9,471.2,7.9,92.2,274.5
Bangalore,27-10-2022,328.2,599.9,9.6,67.9,249.4
Delhi,28-10-2022,32.1,486.6,135,91.3,217.6
Mumbai,28-10-2022,233.7,223.5,71.1,69.8,189
Chennai,28-10-2022,155.1,471.1,22,53.9,26.6
Kolkata,28-10-2022,45.9,387.7,91.9,62.5,114.6
Bangalore,28-10-2022,393.6,488.7,99.9,32.4,298.2
Delhi,29-10-2022,267.6,37.4,123.5,52.8,482.9
Mumbai,29-10-2022,122.1,269.6,85,29.5,15.3
Chennai,29-10-2022,324.8,595.2,58.3,72.3,44.1
Kolkata,29-10-2022,312.5,265.4,81.2,92.5,454.5
Bangalore,29-10-2022,84.1,190.1,149.2,28.4,384.9
Delhi,30-10-2022,113.6,242.4,72.2,73.9,80
Mumbai,30-10-2022,266.5,536,47.6,64.2,447.9
Chennai,30-10-2022,140.7,589.1,29,11.5,372.4
Kolkata,30-10-2022,115.8,514.8,24.1,79.4,349.5
Bangalore,30-10-2022,45.1,297.8,22.6,52.6,171.7
Delhi,31-10-2022,254.4,143.3,103.7,96.2,205
Mumbai,31-10-2022,367.2,390,48,40.9,134.9
Chennai,31-10-2022,277.8,422,86.8,56.8,499.2
Kolkata,31-10-2022,434.4,120.6,45.1,23.3,225.7
Bangalore,31-10-2022,22.9,506,0.9,79.2,167.2
Delhi,01-11-2022,267.3,372.9,133.9,89.8,233.5
Mumbai,01-11-2022,127.5,112.4,99.5,92.9,176
Chennai,01-11-2022,478.3,111,62.8,19.4,389.6
Kolkata,01-11-2022,417.9,347.9,43.4,63.9,96.1
Bangalore,01-11-2022,384.6,182.5,51.9,6.9,347.6
Delhi,02-11-2022,373.1,31.9,39.9,48.6,198.2
Mumbai,02-11-2022,422.8,89.7,14.7,87.9,358.2
Chennai,02-11-2022,10,592.6,72.1,14.5,220.7
Kolkata,02-11-2022,416.1,167.3,101.4,70.7,162.2
Bangalore,02-11-2022,253.4,480.5,30.9,71.3,147.1
Delhi,03-11-2022,399.4,233.8,125.7,91.2,60.5
Mumbai,03-11-2022,19.9,504,114.5,8.1,260.4
Chennai,03-11-2022,137.5,44.6,148.5,15,256.2
Kolkata,03-11-2022,499.7,247.1,50.2,24.1,108.6
Bangalore,03-11-2022,236.5,586.2,121.2,67.7,292.3
Delhi,04-11-2022,72.3,79.6,12.6,10.1,98.3
Mumbai,04-11-2022,3.9,209.6,43.8,52.3,484.6
Chennai,04-11-2022,46.7,514.7,73.6,94.6,36.9
Kolkata,04-11-2022,109.5,246.7,50.9,29.4,493.3
Bangalore,04-11-2022,110.2,37.6,91,2,410
Delhi,05-11-2022,81.9,293.2,45.3,96,71.3
Mumbai,05-11-2022,45.4,541.7,13.3,79.9,169
Chennai,05-11-2022,246.6,367.2,68.6,6.9,320.5
Kolkata,05-11-2022,399.1,31.5,136.2,30.5,255.2
Bangalore,05-11-2022,60,499.5,120.8,61.9,310.6
Delhi,06-11-2022,335.8,371.4,100.8,86.2,30.5
Mumbai,06-11-2022,235.3,437.1,127.1,88.1,237.8
Chennai,06-11-2022,265.5,250,82.9,86.9,429.7
Kolkata,06-11-2022,459.6,73.3,135.7,61.7,191.1
Bangalore,06-11-2022,98.9,591.9,101.9,96.8,134.5
Delhi,07-11-2022,132.1,15.4,94.2,98.9,169.9
Mumbai,07-11-2022,445.1,322.1,133.4,81,258
Chennai,07-11-2022,476.2,451.4,51.8,44.8,174.3
Kolkata,07-11-2022,497.7,543.7,5.2,23.3,448.9
Bangalore,07-11-2022,164.7,35.7,23.4,42.7,260.5
Delhi,08-11-2022,379.3,166.6,100.8,86,497.4
Mumbai,08-11-2022,374.8,577.6,12.5,75.1,423.2
Chennai,08-11-2022,118.4,121.9,131.1,10.8,170.7
Kolkata,08-11-2022,114.5,581.8,46.2,11.4,386.1
Bangalore,08-11-2022,12.8,522.1,37,58.7,418.3
Delhi,09-11-2022,200.9,210,131.9,73.8,288.8
Mumbai,09-11-2022,85.9,159.3,46.1,2.7,386.4
Chennai,09-11-2022,161.6,256.1,25.8,48.5,232.6
Kolkata,09-11-2022,46.9,377.3,34.6,58.1,297
Bangalore,09-11-2022,4.9,34.4,82.6,27.1,85.9
Delhi,10-11-2022,398.5,19.2,106.3,52.1,476.4
Mumbai,10-11-2022,117.3,386.7,9.4,83,44
Chennai,10-11-2022,459.4,306.5,112.9,28,489.3
Kolkata,10-11-2022,294.1,311.9,139.2,85.4,116.3
Bangalore,10-11-2022,149,333.5,35.4,97,348.1
Delhi,11-11-2022,129.2,21.6,65.7,95.9,39.4
Mumbai,11-11-2022,356.6,45.3,31.3,92.4,14.4
Chennai,11-11-2022,214.1,65.7,56.1,94.8,354.4
Kolkata,11-11-2022,173.7,290.9,148.4,48.6,456.8
Bangalore,11-11-2022,384.4,584.8,107,71.8,20.4
Delhi,12-11-2022,413.3,550,5.9,9.2,166
Mumbai,12-11-2022,333.5,8.2,133.5,98.2,427.3
Chennai,12-11-2022,234.4,61.2,120.1,97.6,442.1
Kolkata,12-11-2022,424.7,348,125.6,84.5,414.9
Bangalore,12-11-2022,35.5,38.2,149.8,53.4,355.4
Delhi,13-11-2022,370.6,171.5,47.4,47.7,338.4
Mumbai,13-11-2022,479.9,27.8,138.3,88.5,339.6
Chennai,13-11-2022,480.6,565.9,19.1,91.4,36.7
Kolkata,13-11-2022,441.3,406.8,27.9,64.6,310.3
Bangalore,13-11-2022,249.1,310.8,139.5,16.6,168.5
Delhi,14-11-2022,343.6,159.8,98.2,40.9,236.7
Mumbai,14-11-2022,66.9,218.5,108.8,24.2,37.2
Chennai,14-11-2022,339.9,377.2,81.1,58.5,477.6
Kolkata,14-11-2022,208.4,466.4,106.9,78,128.6
Bangalore,14-11-2022,211.4,144.9,21.6,3.1,265.5
Delhi,15-11-2022,64.2,528.2,77.6,45.4,499.9
Mumbai,15-11-2022,487.3,390.2,76.8,93.9,450
Chennai,15-11-2022,144.3,412.2,124.6,16.2,99.8
Kolkata,15-11-2022,310.5,148.8,13.8,3.7,230.2
Bangalore,15-11-2022,204.2,208.6,41.2,88.1,370.2
Delhi,16-11-2022,136.9,263.9,70.2,69.4,462.8
Mumbai,16-11-2022,222.4,196.8,108,89.8,297.1
Chennai,16-11-2022,481.9,61,126.6,1.8,352.8
Kolkata,16-11-2022,114.3,527.7,4.3,53.7,269.4
Bangalore,16-11-2022,214.1,424.5,28,90.7,144.4
Delhi,17-11-2022,455.8,589.6,58.9,96.2,381
Mumbai,17-11-2022,23.7,229.7,71.2,7,488.2
Chennai,17-11-2022,292.7,475.5,89.6,4.1,206
Kolkata,17-11-2022,323.4,130.9,55.8,92.6,390.7
Bangalore,17-11-2022,327,217.5,12.9,97.4,207.9
Delhi,18-11-2022,359.5,89.3,95.4,86.3,377.8
Mumbai,18-11-2022,368.3,308.6,131.4,79.5,397.3
Chennai,18-11-2022,360,485.8,114.2,21.4,27.9
Kolkata,18-11-2022,187.3,39.8,148.5,55.6,324.6
Bangalore,18-11-2022,386.8,252,92.5,20.8,371.5
Delhi,19-11-2022,148,309.4,105.5,56.5,295
Mumbai,19-11-2022,468.1,161.8,128.9,56.2,165.4
Chennai,19-11-2022,372.2,332.4,109.6,5.7,161.6
Kolkata,19-11-2022,475.6,238.6,89.8,44.8,152.3
Bangalore,19-11-2022,47.3,120,29.4,9.8,364.7
Delhi,20-11-2022,19.6,185.9,24.8,8.9,27.7
Mumbai,20-11-2022,448.7,422.7,102.2,82.7,135
Chennai,20-11-2022,344.7,436.4,135.7,96.3,112.8
Kolkata,20-11-2022,437.9,315.1,49.3,68.3,82.7
Bangalore,20-11-2022,448.6,240.9,49.3,63.8,156.7
Delhi,21-11-2022,484,198.4,48.5,24.4,59.4
Mumbai,21-11-2022,247.9,263.2,64.2,69.9,167.3
Chennai,21-11-2022,440.6,511.3,80,49.2,327.5
Kolkata,21-11-2022,11,93.3,34.4,99.6,180.7
Bangalore,21-11-2022,265.5,46.2,66.4,17.6,436.4
Delhi,22-11-2022,305.6,507.3,33.9,77.2,470.2
Mumbai,22-11-2022,470.3,110.7,33.4,23.3,474.6
Chennai,22-11-2022,184.7,358,140,12.1,167.3
Kolkata,22-11-2022,118,29.4,56.1,20.3,31.9
Bangalore,22-11-2022,470.1,300.7,110.6,48.2,260.8
Delhi,23-11-2022,65.5,585.1,141.3,59,428
Mumbai,23-11-2022,223.9,378.3,110,2.2,217.9
Chennai,23-11-2022,14,265.9,82.7,54.8,442.2
Kolkata,23-11-2022,20.2,96.6,97.7,93.2,386.8
Bangalore,23-11-2022,490.7,283.5,43.6,26.5,217.4
Delhi,24-11-2022,100.6,222.6,22,28.8,374.3
Mumbai,24-11-2022,463,556.2,10.6,36.1,326.9
Chennai,24-11-2022,482.9,578.6,41.6,65.9,478.5
Kolkata,24-11-2022,89.5,406.5,130.2,5.2,301.9
Bangalore,24-11-2022,238.3,422.4,114.4,13.5,465.7
Delhi,25-11-2022,340.1,342.2,114.4,85.1,257.8
Mumbai,25-11-2022,33.5,149,130.7,71.3,449.7
Chennai,25-11-2022,498.1,161.8,100.7,22.8,13.8
Kolkata,25-11-2022,387.4,527.9,68.6,82.8,32.4
Bangalore,25-11-2022,307.6,239.1,11.3,13.7,362.9
Delhi,26-11-2022,209.1,49.3,132,26.7,495.7
Mumbai,26-11-2022,81.1,465.7,44.5,19,230.8
Chennai,26-11-2022,5.7,140.2,77.7,74.5,299.7
Kolkata,26-11-2022,144.3,35,26.8,70.1,453.3
Bangalore,26-11-2022,118.7,265.2,11.6,83.4,0.5
Delhi,27-11-2022,484.1,172.1,143.3,71.4,249.7
Mumbai,27-11-2022,356.4,60.7,4.1,59,190
Chennai,27-11-2022,456.2,209,71,81.3,211.5
Kolkata,27-11-2022,264,148.7,34,23.5,15.5
Bangalore,27-11-2022,432.8,77.7,106.5,46.7,343.7
Delhi,28-11-2022,357.7,16.5,48.8,73,397.9
Mumbai,28-11-2022,312,194.7,122.9,15.5,226.4
Chennai,28-11-2022,77.6,249.7,53.5,93.1,22.5
Kolkata,28-11-2022,240.2,566.9,149.9,13.4,207.4
Bangalore,28-11-2022,344.4,548,13.5,54.1,146
Delhi,29-11-2022,199.5,3.8,59.4,81.1,322
Mumbai,29-11-2022,329.2,81.2,48,97.9,219.8
Chennai,29-11-2022,182.3,366.4,24.2,77.4,122.3
Kolkata,29-11-2022,80.2,376.2,145.6,52.8,450.2
Bangalore,29-11-2022,1.4,510.5,2.4,29.3,44
Delhi,30-11-2022,105.9,152.4,12.3,8.6,9.3
Mumbai,30-11-2022,167,126,48.3,49.2,44.4
Chennai,30-11-2022,472,405.1,45.4,61.4,446.1
Kolkata,30-11-2022,192.5,517.5,120.8,14.8,285
Bangalore,30-11-2022,144.7,590.2,118.3,13.9,138.9
Delhi,01-12-2022,70.1,519.2,44.1,51.5,316.5
Mumbai,01-12-2022,273.2,271.4,38,30.8,388.3
Chennai,01-12-2022,30.6,249.5,2.2,1.5,270.3
Kolkata,01-12-2022,25.2,9.5,93.2,73.6,99.5
Bangalore,01-12-2022,60.5,555,4.5,10.8,49.7
Delhi,02-12-2022,302,443,138,70.3,48.2
Mumbai,02-12-2022,479.4,485.7,116.3,98.4,298.9
Chennai,02-12-2022,496,255.2,14.5,46.9,178.6
Kolkata,02-12-2022,372.2,70.2,130.4,98.8,376.3
Bangalore,02-12-2022,127.7,466.2,66.2,15.2,309.5
Delhi,03-12-2022,116.3,198.9,77.2,26.8,113.9
Mumbai,03-12-2022,407.6,334.1,92.6,31.2,454.7
Chennai,03-12-2022,285.9,73.3,95.3,12.9,92.9
Kolkata,03-12-2022,95.9,80.8,26.6,21.4,16.1
Bangalore,03-12-2022,444.2,411.7,56.4,64.2,67
Delhi,04-12-2022,221,395.5,16.8,34.5,217.2
Mumbai,04-12-2022,206.4,356.5,27.5,39.5,34.6
Chennai,04-12-2022,241.2,65.4,77.2,64.2,404
Kolkata,04-12-2022,271.7,518.2,85.2,52.8,332
Bangalore,04-12-2022,178.6,463.1,89.9,74.9,12.5
Delhi,05-12-2022,91.2,576.7,40.2,55.8,274.1
Mumbai,05-12-2022,415.5,430.9,75,50.1,194.6
Chennai,05-12-2022,48.5,9.7,57.6,20.1,56.3
Kolkata,05-12-2022,199.1,148.2,79,65.2,121.6
Bangalore,05-12-2022,73.4,519.1,146.4,81.6,459.8
Delhi,06-12-2022,64.5,169.4,94.3,99.6,246.9
Mumbai,06-12-2022,204.5,444.8,83,96.6,368.9
Chennai,06-12-2022,73.4,186.1,54.4,78.2,451.7
Kolkata,06-12-2022,177.3,432,109.6,27.1,100.2
Bangalore,06-12-2022,323.4,478.1,113.5,45.8,26
Delhi,07-12-2022,278.8,62.6,39.1,7.8,223.7
Mumbai,07-12-2022,177.7,260.6,80.6,30.9,174.8
Chennai,07-12-2022,369.2,432,116.2,0.7,356.9
Kolkata,07-12-2022,305.1,336.4,63.5,99.4,251
Bangalore,07-12-2022,401.8,11.6,97.8,21.3,183.3
Delhi,08-12-2022,225.9,40.6,51.1,11.1,487.1
Mumbai,08-12-2022,152.3,363.4,93.7,72.8,86.8
Chennai,08-12-2022,373.7,94.9,122.7,97,25.8
Kolkata,08-12-2022,159.9,12.8,34.3,52.1,17.8
Bangalore,08-12-2022,244.4,393.1,8.2,51.5,105.9
Delhi,09-12-2022,307.6,287.3,128.7,74.4,218.6
Mumbai,09-12-2022,254.5,253.9,121.4,18.3,258.2
Chennai,09-12-2022,185.8,327.4,109.3,10.6,286.5
Kolkata,09-12-2022,301,35.1,129.1,49,371.8
Bangalore,09-12-2022,224.2,278.5,59.3,38.2,276.1
Delhi,10-12-2022,159.6,478,21.8,4.2,18.3
Mumbai,10-12-2022,446.5,327.1,136.8,12.8,156.2
Chennai,10-12-2022,487.8,113.2,85.6,100,255.7
Kolkata,10-12-2022,348.4,484.4,143.6,73.7,123.6
Bangalore,10-12-2022,433.3,466,5.9,66.6,353.3
Delhi,11-12-2022,166.6,540.5,86.4,91.5,343.5
Mumbai,11-12-2022,287.3,549.3,37.3,37,323.5
Chennai,11-12-2022,446.2,399.5,71.3,96.1,278.7
Kolkata,11-12-2022,138.6,35.2,20.5,31.5,370.1
Bangalore,11-12-2022,196.2,182.2,44.6,98.6,128.3
Delhi,12-12-2022,381.9,252.6,64.9,49.1,154.5
Mumbai,12-12-2022,232.6,571.2,102.1,90.5,148
Chennai,12-12-2022,274,449.4,42.9,62.3,73.7
Kolkata,12-12-2022,163.1,521.5,60.7,70.3,444.8
Bangalore,12-12-2022,3.8,180.4,134.7,5.7,488.4
Delhi,13-12-2022,246.6,525.7,76.3,80.2,8.4
Mumbai,13-12-2022,267.6,62.4,52,57.4,313
Chennai,13-12-2022,274.6,445.9,135.7,93.3,76.4
Kolkata,13-12-2022,54.5,483.1,90.2,97.3,311.8
Bangalore,13-12-2022,238.9,372.8,68.6,36.3,489.6
Delhi,14-12-2022,18.3,35,53.1,0.5,140.1
Mumbai,14-12-2022,310.7,339.8,117.1,84.9,392.9
Chennai,14-12-2022,261.7,502.6,38.7,27.5,6.7
Kolkata,14-12-2022,44.4,225.8,35.9,69.5,24.2
Bangalore,14-12-2022,217.3,582.4,118.8,66.6,133.2
Delhi,15-12-2022,406.2,376.5,14,24.6,453.3
Mumbai,15-12-2022,366.3,494.9,89.3,91.2,414.7
Chennai,15-12-2022,295.8,397.8,3,79.4,393.3
Kolkata,15-12-2022,337.7,221,41.5,39.8,448
Bangalore,15-12-2022,443.8,145.4,46.1,61,93.8
Delhi,16-12-2022,6.6,328.9,43.3,58.2,258.9
Mumbai,16-12-2022,358.7,121.5,26.8,50.8,234.8
Chennai,16-12-2022,243.6,481.3,42.3,11.9,64.2
Kolkata,16-12-2022,47.1,367.2,14.7,42.7,401.9
Bangalore,16-12-2022,28.7,493,51.3,72,482.2
Delhi,17-12-2022,479.8,285.7,39.2,24.8,246.9
Mumbai,17-12-2022,437.1,362.4,97,27.9,296.2
Chennai,17-12-2022,294.3,192.6,88.3,87.7,331.3
Kolkata,17-12-2022,467.8,84.7,6.2,83,103
Bangalore,17-12-2022,149.4,211.7,59.2,54.5,17
Delhi,18-12-2022,368,130,28.7,21.1,279.5
Mumbai,18-12-2022,275.2,588.9,131,34.9,325.3
Chennai,18-12-2022,136.6,312.4,125.8,93.8,192.1
Kolkata,18-12-2022,51.1,329.1,37.2,17.2,95.7
Bangalore,18-12-2022,387,33.8,3.6,43.3,82.5
Delhi,19-12-2022,144.4,130.1,98.5,44.5,386.3
Mumbai,19-12-2022,246.7,328.5,94.9,37.1,272.1
Chennai,19-12-2022,417.2,499.6,74.7,31.6,322.2
Kolkata,19-12-2022,172.5,306.5,53,17.7,398.4
Bangalore,19-12-2022,178.9,409.5,144.6,32.4,197.8
Delhi,20-12-2022,192.4,60.4,24.5,44.6,396.2
Mumbai,20-12-2022,239.3,500.8,41.4,0.7,194.7
Chennai,20-12-2022,455.3,232.9,113,45.7,12.6
Kolkata,20-12-2022,428.2,219.5,68.5,26,150
Bangalore,20-12-2022,408.5,226.8,101.3,87.4,59.5
Delhi,21-12-2022,41.2,348,142.4,68.5,27
Mumbai,21-12-2022,18.2,288.1,119.4,60.5,37.9
Chennai,21-12-2022,464.6,495.7,28.7,31.5,125
Kolkata,21-12-2022,244.4,163.6,127.2,13.7,79.3
Bangalore,21-12-2022,418.4,4.1,122.4,53.7,343.9
Delhi,22-12-2022,236.9,588,100,76.5,71.6
Mumbai,22-12-2022,104.7,312.2,91.3,28,428.3
Chennai,22-12-2022,171.9,323,81.3,45.8,5.7
Kolkata,22-12-2022,299.8,26,142.1,89.9,146.5
Bangalore,22-12-2022,401.5,205.9,107.9,72,207.9
Delhi,23-12-2022,411.8,587.4,9.5,21.7,298
Mumbai,23-12-2022,45.5,119.9,121.5,42.6,465.1
Chennai,23-12-2022,365.3,278.6,117.8,88.7,165.5
Kolkata,23-12-2022,243.5,503.7,77.9,24.6,251.5
Bangalore,23-12-2022,402.7,260.2,73.4,15.9,326.4
Delhi,24-12-2022,170.1,584.3,116.4,89.2,288.6
Mumbai,24-12-2022,253.4,312.6,113.4,22.8,45.9
Chennai,24-12-2022,487.5,83.8,43.9,25.7,426.5
Kolkata,24-12-2022,305.7,422,3.6,68.9,363.7
